# W31 G4's chroma cut: the declared bed's R and its structure reading, regenerated at the gate that adopts them (W31 Decision Log 3 (a)), with M2's reference re-baselined at this gate (W32 Decision Log 4).
# mode: R = chromaStructureRatioWeb / chromaStructureRatioNative, web against native on the same cell and never against 1; median per scheme and pose with a two-sided per-cell clause; structure read as interiorStdDevWeb against the reference generation, re-baselined at each adopting gate (W32 Decision Log 4)
# at documents: {"apple-macos-27.0-1x-dark-standard-glass0.5-receded.json": "4e68f81869f6", "apple-macos-27.0-1x-dark-standard-glass0.5.json": "431cabd391c4", "apple-macos-27.0-1x-light-standard-glass0.5-receded.json": "45acb6d916b9", "apple-macos-27.0-1x-light-standard-glass0.5.json": "d5bdd6eac432"}
# reference generation: {"dark": {"activeDocumentSha256": "b5714a866288", "file": "b5714a866288.json"}, "light": {"activeDocumentSha256": "49490eb9ff7a", "file": "49490eb9ff7a.json"}}
# holdout: not read

bed                  n   median R    min R    max R  worst |Δsd|
light|active        10     1.0490   0.8899   1.4495       0.665%
light|inactive       8     1.0230   0.9486   1.5391       1.477%
dark|active          4     0.9964   0.8176   1.0906       0.484%
dark|inactive        4     1.0060   0.8661   1.1782       1.325%

profile                                             scene                           set                 R       Δsd
apple-macos-27.0-1x-light-standard-glass0.5         photo__rrect-sm__inactive       validation     1.5391   -1.477%
apple-macos-27.0-2x-light-standard-glass0.5         photo__rrect-sm__inactive       validation     1.4611   -0.956%
apple-macos-27.0-2x-light-standard-glass0.5         photo__rrect-sm__rest           validation     1.4495   -0.524%
apple-macos-27.0-1x-light-standard-glass0.5         photo__rrect-sm__rest           validation     1.3660   -0.665%
apple-macos-27.0-2x-dark-standard-glass0.5          photo__capsule-button__inactive calibration    1.1782    0.760%
apple-macos-27.0-1x-dark-standard-glass0.5          photo__capsule-button__inactive calibration    1.1151    1.325%
apple-macos-27.0-2x-dark-standard-glass0.5          photo__rrect-md__rest           calibration    1.0906    0.266%
apple-macos-27.0-2x-light-standard-glass0.5         photo__rrect-md__rest           calibration    1.0697   -0.036%
apple-macos-27.0-2x-light-standard-glass0.5         photo__rrect-ml__rest           calibration    1.0621   -0.026%
apple-macos-27.0-2x-dark-standard-glass0.5          photo__capsule-button__rest     calibration    1.0528    0.414%
apple-macos-27.0-1x-light-standard-glass0.5         photo__rrect-ml__rest           calibration    1.0509   -0.027%
apple-macos-27.0-1x-light-standard-glass0.5         photo__capsule-button__inactive calibration    1.0475   -0.261%
apple-macos-27.0-2x-light-standard-glass0.5         photo__capsule-button__rest     calibration    1.0472   -0.040%
apple-macos-27.0-1x-light-standard-glass0.5         photo__rrect-md__rest           calibration    1.0393   -0.049%
apple-macos-27.0-1x-light-standard-glass0.5         photo__rrect-md__inactive       calibration    1.0349   -0.148%
apple-macos-27.0-1x-light-standard-glass0.5         photo__toolbar-group__inactive  validation     1.0111   -0.299%
apple-macos-27.0-2x-light-standard-glass0.5         photo__capsule-button__inactive calibration    1.0066   -0.081%
apple-macos-27.0-1x-light-standard-glass0.5         photo__capsule-button__rest     calibration    1.0036   -0.142%
apple-macos-27.0-2x-light-standard-glass0.5         photo__rrect-md__inactive       calibration    0.9858   -0.092%
apple-macos-27.0-2x-light-standard-glass0.5         photo__toolbar-group__inactive  validation     0.9486   -0.105%
apple-macos-27.0-1x-dark-standard-glass0.5          photo__rrect-md__rest           calibration    0.9400    0.199%
apple-macos-27.0-1x-dark-standard-glass0.5          photo__rrect-md__inactive       calibration    0.8968    0.997%
apple-macos-27.0-1x-light-standard-glass0.5         photo__toolbar-group__rest      validation     0.8928   -0.205%
apple-macos-27.0-2x-light-standard-glass0.5         photo__toolbar-group__rest      validation     0.8899   -0.086%
apple-macos-27.0-2x-dark-standard-glass0.5          photo__rrect-md__inactive       calibration    0.8661    1.065%
apple-macos-27.0-1x-dark-standard-glass0.5          photo__capsule-button__rest     calibration    0.8176    0.484%

26 cells -> chroma-cut.json
